Restaurant,Address
Cantina d'Italia,"1214-A 18th ST NW, Washington DC"
Chez Camille,"1403 L ST NW, Washington DC"
Chez Francois,"818 Connecticut Ave NW, Washington DC"
La Nicoise,"1721 Wisconsin Ave, NW, Washington DC"
Le Provencal,"1234 20th ST NW, Washington DC"
Old Europe,"2434 Wisconsin Ave NW, Washington DC"
Paul Young's,"1120 Connecticut Ave., NW, Washington DC"
Peking,"711 13th ST NW, Washington DC"
Rive Gauche,"3200 M ST NW, Washington DC"
Sans Souci,"726 17th ST NW, Washington DC"
Alpine ,"4770 Lee Highway, Arlington, VA"
Blair Mansion Inn,"7711 Eastern Ave., Silver Spring, MD"
Carmack's,"4469 Connecticut Ve., NW, Washington DC"
Charcuterie Normande,"3155 Wilson Blvd., Arlington, VA"
Chez Odette,"3063 M ST NW, Washington DC"
Country Squire,"Leesburg Pike & Patrick Henry Dr., Seven Corners, VA"
Crisfield Seafood Restaurant,"8012 Georgia Ave., Silver Spring, MD"
Csikos,"3601 Connecticut Ave., NW, Washington, DC"
Don Pedro's Mexican Cantina,"10th & H ST NW, Washington, DC"
El Tio Pepe Restaurant,"2809 M ST NW, Washington, DC"
Empress Restaurant,"1018 Vermont Ave. NW, Washington DC"
Evans Farm Inn,"5743 Chain Bridge Rd, Fairfax, VA"
Gourmetisserie,"1624 Wisconsin Ave. NW, Washington, DC"
Jacqueline's,"1921 Pennsylvania Ave., NW, Washington DC"
Japan Inn,"1520 Connecticut Ave. NW, Washington, DC"
Knife and Fork,"1824 M ST NW, Washington, DC"
Maison des Crepes,"1305 Wisconsin Ave., NW, Washington, DC"
Michel's,"7904 Woodmont Ave, Bethesda, MD "
Montpelier Restaurant,"15th & M ST NW, Washington, DC"
Occidental Restaurant,"1411 Pennsylvania Ave., NW, Washington, DC"
Omega Restaurant,"1858 Columbia Rd NW, Washington, DC"
Peking,"5522 Connecticut Ave NW, Washington, DC"
Pouget's,"3309 Connecticut Ave. NW, Washington, DC"
Rose and Crown,"8130 Wisconsin Ave., Bethesda, MD"
1789,"1226 36th St NW, Washington, DC"
Taj Mahal,"1327 Connecticut Ave, NW, Washington DC"
Tom Ross',"2001 Wisconsin Ave NW, Washington, DC"
Trader Vic's,"16th & K St NW, Washington DC"
Trieste,"2138 1/2 Pennsylvania Ave NW, Washington, DC"
Watergate Terrace,"2650 Virginia Ave NW, Washington, DC"
Yenching Palace,"3524 Connecticut Ave NW, Washington, DC"
