Restaurant,Address
Le Bagatelle,"2000 K ST NW, Washington DC"
Blair Mansion Inn,"7711 Eastern Avenue NW, Washington DC"
Calvert Cafe,"1967 Calvert Street NW, Washington DC"
Cantina d'Italia,"1214A 18th Street NW, Washington DC"
Charcuterie Normande,"3155 Wilson Blvd., Arlington, VA"
Chez Camille,"1403 L Street NW, Washington DC"
Chez Francois,"818 Connecticut Ave NW, Washington DC"
Company Inkwell,"4109 Wilson Boulevard, Arlington, VA"
Crisfield ,"8012 Georgia Avenue, Silver Spring, MD"
Csiko's,"3601 Connecticut Avenue NW, Washington DC"
Duke Zeibert's,"1722 L ST NW, Washington DC"
El Caribe,"1828 Columbia Road NW, Washington DC"
El Tio Pepe,"2809 M Street NW, Washington DC"
Firenze,"5400 Pooks Hill Rd, Bethesda, MD"
Golden Palace,"726 7th ST NW, Washington DC"
Imperial Garden,"1961 Chain Bridge Rd, Tysons, VA"
Japan Inns,"1715 Wisconsin Avenue, NW, Washington DC"
Japan Inns-2,"1520 Connecticut Avenue NW, Washington DC"
Jean-Pierre,"1835 K ST NW, Washington DC"
Jockey Club,"2100 Massachusetts Avenue NW, Washington DC"
Jour et Nuit,"1204 30th ST NW, Washington DC"
Mikado,4707 Wisconsin Ave NW Washington DC
The Montpelier Room ,"M St NW & 15th St NW, Washington, DC"
Nathan's,"3150 M ST NW, Washington, DC"
Old Europe,"2434 Wisconsin Ave NW, Washington DC"
Omega,"1858 Columbia Rd NW, Washington DC"
Paul Young's,"1120 Connecticut Ave NW, Washington DC"
Le Pauvre Immigrant,"2233 Wisconsin Ave NW, Washington DC"
Peking,"823 15th Street NW, Washington DC"
Portofino,"526 23rd St S, Arlington, VA 22202"
Le Provencal,"1234 20th ST NW, Washington DC"
Rudy's,"6813 Redmond Dr, McLean, VA"
Sans Souci,"726 17th ST NW, Washington DC"
Sea Catch,"2100 Massachusetts Ave NW, Washington DC"
1789,"1226 36th ST NW, Washington DC"
Shanghai,"5157 Lee Hwy, Arlington, VA"
Le Steak,"3060 M Street NW, Washington DC"
Szechwan Garden,"7945 Tuckerman Ln, Potomac, MD"
La Toque d'Argent,"2505 Wisconsin Avenue NW, Washington DC"
Trader Vic's ,"16th and K streets, Washington DC"
Yenching Palace,"3524 Connecticut Ave NW, Washington DC"
