Name,Address,Cuisine
Addie's,"11120 Rockville Pike, Rockville, MD",Modern American
Aditi,"3299 M St., NW, Washington, DC",Indian
Andalucia-2,"12300 Wilkins Ave., Rockville, MD",Spanish
Andalucia,"4931 Elm St., Bethesda, MD",Spanish
Bacchus,"1827 Jefferson Pl., NW, Washington, DC",Lebanese
Bacchus-Bethesda,"7945 Norfolk Ave., Bethesda, MD",Lebanese
Bistro Français,"3124 M St., NW, Washington, DC",French
Bistrot du Coin,"1738 Connecticut Ave., NW, Washington, DC",French
Bistrot Lepic,"1736 Wisconsin Ave., NW, Washington, DC",French
Black's Bar & Kitchen,"7750 Woodmont Ave., Bethesda, MD",Seafood
Blue Point Grill,"600 Franklin St, Alexandria, VA",Seafood
Bobby Van's Steakhouse,"809 15th St., NW, Washington, DC",steak
Bombay Bistro,"98 W. Montgomery Ave., Rockville, MD",Indian
Bombay Bistro-2,"3570 Chain Bridge Rd., Fairfax, VA",Indian
Bombay Palace,"2020 K St., NW, Washington, DC",Indian
Cactus Cantina,"3300 Wisconsin Ave., NW, Washington, DC",Tex-Mex
Café Bethesda,"5027 Wilson Lane Bethesda, MD",Modern American
Café de Paris,"14252 Baltimore Ave, Laurel, MD",French
Cafe Milano,"3251 Prospect St., NW, Washington, DC",Italian
Capital Q,"707 H St., NW, Washington, DC",Barbecue
Carlyle Grand Café,"4000 S. 28th St., Arlington, VA",Modern American
Cesco Trattoria,"4871 Cordell Ave., Bethesda, MD",Italian
The Crossing at Casey Jones,"417 Charles St, La Plata, MD",Modern American
Duangrat's,"5878 Leesburg Pike, Falls Church, VA",Thai
Rabieng,"5892 Leesburg Pike, Bailey's Crossroads, VA ",Thai
Elysium,"116 S Alfred St, Alexandria, VA",Modern American
Equinox,"818 Connecticut Ave., NW, Washington, DC",Modern American
Etrusco,"1606 20th St., NW, Washington, DC",Italian
Evening Star Café,"2000 Mount Vernon Ave., Alexandria, VA",Modern American
Fortune-3,"6249 Arlington Blvd, Falls Church, VA 22044",Chinese
Fortune-2,"1428 Reston Pkwy, Reston, VA",Chinese
Four & Twenty Blackbirds,"650 Zachary Taylor Hwy, Flint Hill, VA",Modern American
