Restaurants,Address,Cuisine
Acadiana,"901 New York Ave., NW, Washington DC",Southern
Addie’s,"11120 Rockville Pike, Rockville, MD",Modern American
Adour,"923 16th St., NW, Washington DC",French
Art and Soul,"415 New Jersey Ave., NW, Washington DC",Southern
Assaggi,"4838 Bethesda Ave., Bethesda, MD",Italian
Bibiana,"1100 New York Ave., NW, Washington DC",Italian
Bistro Bis,"Hotel George, 15 E St., NW, Washington DC",French
Black Market Bistro,"4600 Waverly Ave, Garrett Park, MD",Modern American
BlackSalt,"4883 MacArthur Blvd., NW, Washington DC",Modern American/seafood
Black’s Bar and Kitchen,"7750 Woodmont Ave., Bethesda, MD",Modern American
BLT Steak,"1625 I St., NW, Washington DC",Modern American/steak
Blue Duck Tavern,"1201 24th St., NW, Washington DC",Modern American
Bourbon Steak,"2800 Pennsylvania Ave., NW, Washington DC",Modern American/steak
Brasserie Beck,"1101 K St., NW, Washington DC",Belgian
Café du Parc,"1401 Pennsylvania Ave., NW, Washington DC",French
Cashion’s Eat Place,"1819 Columbia Rd., NW, Washington DC",Modern American
Cava,"527 Eighth St., SE, Washington DC",Greek
Cedar,"822 E St., NW, Washington DC",Modern American
Central Michel Richard,"1001 Pennsylvania Ave., NW, Washington DC",American/French
Charlie Palmer Steak,"101 Constitution Ave., NW, Washington DC",Modern American/steak
Circle Bistro,"1 Washington Cir., NW, Washington DC",Modern American
Citronelle,"3000 M St., NW, Washington DC",French
CityZen,"330 Maryland Ave SW, Washington, DC",Modern American
Corduroy,"1122 Ninth St., NW, Washington DC",Modern American
Cork,"1720 14th St., NW, Washington DC",Wine bar/small plates
Eola,"2020 P St., NW, Washington DC",Modern American
Equinox,"818 Connecticut Ave., NW, Washington DC",Modern American
Etete,"1942 Ninth St., NW, Washington DC",Ethiopian
Et Voila!,"5120 MacArthur Blvd., NW, Washington DC",Belgian/French
Eventide,"3165 Wilson Blvd., Arlington, VA",Modern American
Faryab,"4917 Cordell Ave., Bethesda, MD",Afghan
Four Sisters,"8190 Strawberry La., Falls Church, VA",Vietnamese
General Store,"6 Post Office Rd., Silver Spring, MD",American
Grapeseed,"4865 Cordell Ave., Bethesda, MD",Modern American
Hell Point Seafood,"12 Dock St, Annapolis, MD",Seafood
Heritage India,"2400 Wisconsin Ave., NW, Washington DC",Indian
Hook,"3241 M St., NW, Washington DC",Modern American/seafood
Indique Heights,"2 Wisconsin Cir., Chevy Chase, MD",Indian
Inn at Little Washington,"309 Middle St., Washington, Va.",Modern American
Inox,"1800 Tysons Blvd, McLean, VA ",Modern American
J&G Steakhouse,"515 15th St., NW, Washington DC",Modern American/steak
Jackie’s,"8081 Georgia Ave., Silver Spring, MD",American
Jaleo,"480 Seventh St., NW, Washington DC",Spanish
Jaleo-2,"7271 Woodmont Ave., Bethesda, MD",Spanish
Jaleo-3,"2250-A Crystal Dr., Arlington, VA",Spanish
Johnny’s Half Shell,"400 N. Capitol St., NW, Washington DC",Seafood
Kinkead’s,"2000 Pennsylvania Ave., NW, Washington DC",Modern American/seafood
Komi,"1509 17th St., NW, Washington DC",Modern American/Mediterranean
Kotobuki,"4822 MacArthur Blvd., NW, Washington DC",Sushi
L’Auberge Chez François,"332 Springvale Rd., Great Falls, VA",French
Liberty Tavern,"3195 Wilson Blvd., Arlington, VA",American
The Majestic,"911 King St, Alexandria, VA ",American
Makoto,"4822 MacArthur Blvd., NW, Washington DC",Japanese/sushi
Marcel’s,"2401 Pennsylvania Ave., NW, Washington DC",French
Marvin,"2007 14th St., NW, Washington DC",American/Belgian
