Name,Location,Cuisine
Apana,"3066 M Street, NW, DC",Indian
L'Auberge Chez Francois,"332 Springvale Road, Great Falls",French
A.V. Ristorante,"607 New York Avenue, NW, DC",Italian
Bacchus,"1827 Jefferson PL., NW, DC",Middle Eastern
Bamiyan I,"3220 M St., NW, DC",Afghan
Bamiyan II,"300 King St., Alexandria, VA",Afghan
La Bergerie,"218 North Lee Street, Alexandria, VA",French
Big Wong,"610 H Street, N.W. Washington, DC",Chinese
Cantina d'Italia,"1214 18th Street, NW, DC",Italian
El Caribe,"1828 Columbia Rd., NW, DC",Latin American
El Caribe-Georgetown,"3288 M St., NW, DC",Latin American
La Casita of Capitol Hill,"723 8th Street, Southeast, DC",Mexican
La Chaumiere,"2813 M Street, Northwest, DC",French
China Inn,"631 H St., NW, DC",Chinese
La Colline,"400 N. Capito St., NW, DC",French
Crisfield,"8012 Georgia Ave., Silver Spring, MD",Seafood
Duck Chang's,"4427 John Marr Drive, Annandale, VA ",Chinese
Enriqueta's,"2811 M St., NW, Washington, DC",Mexican
Gary's,"1800 M Street, Northwest",American
Le Gaulois,"2133 Pennsylvania Avenue, NW, DC",French
Geranio,"722 King Street, Alexandria, VA",Italian
House of Chinese Gourmet,"1485 Rockville Ok., Rockville, MD",Chinese
Japan Inn,"1715 Wisconsin Ave., NW, DC",Japanese
Katmandu,"1800 Connecticut Ave., NW, DC",Nepali/Kashmiri
Kazan,"6813 Redmond Drive, McLean, VA",Turkish
Le Lion d'Or,"1150 Connecticut Ave., NW, DC",French
Madurai,"3318 M St., NW, DC",Indian
Mel Krupin,"1120 Connecticut Avenue, NW, DC",American
Misty Harbor,"184 Rollins Avenue, Rockville, MD",Seafood
Morton's of Chicago,"3521 Prospect St., NW, Washington, DC",American 
Nizam's,"523 Maple Ave. W., Vienna, VA",Turkish
O'Brien's Pit Barbecue,"1314 E. Gude Dr., Rockville, MD",Barbecue
O'Brien's-Bethesda,"7305 Waverly St., Bethesda, MD",Barbecue
O'Brien's-Springfield,"6820 Commerce St., Sprinfield, VA",Barbecue
Old Ebbitt Grill,"675 15th St., NW, DC",American 
Old Europe,"2434 Wisconsin Avenue, Northwest, DC",German
Omega,"1858 Columbia Road, Northwest, DC",Latin American
Las Pampas,"3291 M St, NW, DC",Argentine
Le Pavillion,"1050 Connecticut Avenue, Northwest, Washington, DC",French
The Prime Rib,"2020 K Street, Northwest, DC",American
Red Sea,"2463 18th St., NW, DC",Ethipian
Rio de Janeiro,"3287 M Street, Northwest, Washington, DC",Brazilian
Sakura Palace,"7926 Georgia Ave., Silver Spring, MD",Japanese
Sushi-Ko,"2309 Wisconsin Ave., NW, DC",Japanese
Szechuan,"615 I St., NW, Washington, DC",Chinese
Tandoor-Georgetown,"3316 M St., NW, Washington, DC",Indian
Terrazza,"710 King St, Alexandria, VA",Italian
Thai Taste,"2606 Connecticut Avenue, Northwest, Washington, DC",Thai
Vietnam-Georgetown,"2934 M St., NW, Washington, DC",Vietnamese
Vincenzo,"1606 20th St., NW, Washington, DC",Italian
