Name,Address,Cuisine
Aditi,"3299 M St., NW, Washington, DC",Indian
Andalucía,"4931 Elm St., Bethesda, MD",Spanish
Andalucía-2,"12300 Wilkins Ave., Rockville, MD",Spanish
Austin Grill,"2404 Wisconsin Ave., NW, Washington, DC",Tex-Mex
Austin Grill-2,"8430 Old Keene Mill Rd, West Springfield, VA",Tex-Mex
Austin Grill-3,"7278 Woodmont Ave., Bethesda, MD",Tex-Mex
South Austin Grill,"801 King St, Alexandria, VA ",Tex-Mex
Bacchus,"1827 Jefferson Place, NW, Washington, DC",Lebanese
Bacchus-Bethesda,"7945 Norfolk Ave., Bethesda, MD",Lebanese
Benjarong,"855-C Rockville Pike, Rockville, MD",Thai
Bistro Bistro,"4021 S. 28th St., Arlington, VA",American
Bistro Bistro-2,"1811 Library St., Reston, VA",American
Bistro Bistro-3,"4301 Fairfax Dr, Arlington, VA",American
Bistro Français,"3128 M St., NW., Washington, DC",French
Bistrot Lepic,"1736 Wisconsin Avenue, NW., Washington, DC",French
Blue Point Grill,"600 Franklin St., Alexandria, va",Seafood
Bombay Bistro,"98 W. Montgomery Ave., Rockville, MD",Indian
Bombay Bistro-2,"3570 Chain Bridge Rd., Fairfax, VA",Indian
Bombay Palace,"2020 K St., NW., Washington, DC",Indian
Cactus Cantina,"3300 Wisconsin Ave., NW., Washington, DC",Tex-Mex
Café Atlántico,"405 Eighth St., NW., Washington, DC",Latin American
Cafe Bethesda,"5027 Wilson Lane Bethesda, MD.",Modern American
Cafe Bethesda-2,"121 Congressional La., Rockville, MD",Modern American
Cafe Milano,"3251 Prospect St., NW., Washington, DC",Italian
Café Normandie,"185 Main St, Annapolis, MD",Continental
Carlyle Grand Cafe,"4000 S. 28th St., Arlington, VA",Modern American
China Inn,"631 H St., NW, Washington, DC",Chinese
Citronelle,"3000 M St., NW, Washington, DC",Modern American
Crisfield,"8012 Georgia Ave., Silver Spring, MD",Seafood
Crisfield at Lee Plaza,"8606 Colesville Rd., Silver Spring, MD",Seafood
Dolce Vita,"10824 Lee Hwy., Fairfax, VA",Italian
Duangrat's,"5878 Leesburg Pike, Falls Church, VA",Thai
"Elysium, Morrison House","116 S. Alfred St., Alexandria, VA",Modern American
Fortune,"5900 Leesburg Pike, Falls Church, VA",Chinese
Fortune-2,"1428 North Point Village Center, Reston, VA",Chinese
Four & Twenty Blackbirds,"647 US-522, Flint Hill, VA ",Modern American
Gabriel,"2121 P St., NW., Washington, DC ",Latin American
Galileo,"1110 21st St., NW., Washington, DC",Italian
Georgia Brown's,"950 15th St., NW., Washington, DC",New Southern
Gerard's Place,"915 15th St., NW., Washington, DC",French
Goldoni Ristorante,"1113 23rd St., NW., Washington, DC",Italian
Good Fortune,"2646 University Blvd W, Silver Spring, MD",Chinese
Grill from Ipanema,"1858 Columbia Rd., NW., Washington, DC",Brazilian
Haandi,"1222 W. Broad St., Falls Church, VA",Indian
Haandi-2,"4904 Fairmont Ave., Bethesda, MD",Indian
Hee Been,"6231 Little River Turnpike, Alexandria, VA",Japanese-Korean
Hunan Chinatown,"624 H St., NW., Washington, DC",Chinese
Hunan Palace,"9011 Gaither Rd., Gaithersburg, MD",Chinese
Il Pizzico,"15209 Frederick Rd., Rockville, MD",Italian
Il Radicchio,"1509 17th St., NW., Washington, DC",Italian
Il Radicchio-2,"1211 Wisconsin Ave., NW, Washington, DC",Italian
Il Radicchio-3,"1801 Clarendon Blvd., Arlington, VA",Italian
I Matti,"2436 18th St., NW, Washington, DC",Italian
Inn at Little Washington,"309 Middle St, Washington, VA ",Modern American
i Ricchi,"1220 19th St., NW., Washington, DC",Italian
Jaleo,"480 7th St., NW., Washington, DC",Spanish
Jean-Michel,"10223 Old Georgetown Rd., Bethesda, MD",French
Kinkead's,"2000 Pennsylvania Ave., NW, Washington, DC",Seafood
Krupin's,"4620 Wisconsin Ave., NW, Washington, DC ",Deli
La Bergerie,"218 N Lee St, Alexandria, VA",French
La Chaumière,"2813 M St., NW., Washington, DC",French
La Colline,"400 N. Capitol St., NW., Washington, DC",French
La Côte d'Or Café,"6876 Lee Hwy., Arlington, VA",French
La Ferme,"7101 Brookville Rd., Chevy Chase, MD",French
La Miche,"7905 Norfolk Ave., Bethesda, MD",French
Las Pampas,"3291 M St. NW., Washington, DC",Argentine
L'Auberge Chez François,"332 Springvale Rd, Great Falls, VA",French
Lavandou,"3321 Connecticut Ave., NW., Washington, DC",Provençal
Lebanese Taverna,"2641 Connecticut Ave., NW., Washington, DC",Lebanese
Le Gaulois,"1106 King St., Alexandria, VA",French
Les Halles,"1201 Pennsylvania Ave., NW, Washington, DC",French
Le Lion d'Or,"1150 Connecticut Ave., NW, Washington, DC",French
Le Vieux Logis,"7925 Old Georgetown Rd., Bethesda, MD",French
Luigino,"1100 New York Ave., NW, Washington, DC",Italian
Matuba," 2915 Columbia Pike, Arlington, VA",Japanese
Matuba-Bethesda,"4918 Cordell Ave., Bethesda, MD",Japanese
Miss Saigon,"1847 Columbia Rd., NW, Washington, DC",Vietnamese
Miss Saigon,"3057 M St., NW, Washington, dc",Vietnamese
Morrison-Clark Inn,"1015 L St., NW, Washington, DC",Modern American
Morton's of Chicago,"3251 Prospect St., NW, Washington, DC",American
Morton's of Chicago-2,"8075 Leesburg Pike, Vienna, VA ",American
Nizam's,"523 Maple Ave W, Vienna, VA",Turkish
Obelisk,"2029 P St., NW, Washington, DC",Italian
Old Angler's Inn,"10801 MacArthur Blvd., Potomac, MD",Modern American
Old Europe,"2434 Wisconsin Ave., NW, Washington, DC",German
Oodles Noodles,"1010 20th St., NW, Washington, DC",Asian
Oodles Noodles-2,"4907 Cordell Ave., Bethesda, MD",Asian
The Palm,"1225 19th St., NW, Washington, DC",American
Peking Gourmet Inn,"6029 Leesburg Pike, Falls Church, VA",Chinese
Pesce,"2016 P St., NW, Washington, DC",Seafood
Pizzeria Paradiso,"2029 P St., NW, Washington, DC",Pizza
The Prime Rib,"2020 K St., NW, Washington, DC",American
Provence,"2401 Pennsylvania Ave., NW",French
Queen Bee,"3181 Wilson Blvd., Arlington, VA",Vietnamese
Red Hot & Blue,"1600 Wilson Blvd., Arlington, VA",Barbecue
Red Hot & Blue-2,"677 Main St, Laurel, MD ",Barbecue
Red Hot & Blue-4,"200 Old Mill Bottom Rd S, Annapolis, MD",Barbecue
Red Hot & Blue-5,"16811 Crabbs Branch Way, Derwood, MD",Barbecue
Red Hot & Blue-7,"402 S Jefferson St, Frederick, MD",Barbecue
Rio Grande Cafe,"4919 Fairmont Ave., Bethesda, MD",Tex-Mex
Rio Grande Cafe-2,"4301 Fairfax Dr, Arlington, VA",Tex-Mex
Rio Grande Cafe-3,"Reston Town Center, 1827 Library St, Reston, VA",Tex-Mex
RT's Restaurant,"3804 Mount Vernon Ave., Alexandria, VA",American
Sam & Harry's,"1200 19th St., NW, Washington, DC",American
Sam Woo,"1054 Rockville Pike, Rockville, MD",Korean
Seven Seas,"1776 East Jefferson St., Rockville, MD",Chinese
1789 Restaurant,"1226 36th St., NW, Washington, DC",Modern American
Star of Siam,"1136 19th St., NW, Washington, DC",Thai
Star of Siam-2,"2446 18th St., NW, Washington, DC",Thai
Stone Manor,"5820 Carroll Boyer Rd., Middletown, Md.",Modern American
Sushi-Ko,"2309 Wisconsin Ave., NW, Washington, DC",Japanese
Taberna del Alabardero,"1776 I St., NW, Washington, DC",Spanish
Tachibana,"6715 Lowell Ave, McLean, VA ",Japanese
Tako Grill,"7756 Wisconsin Ave., Bethesda, MD",Japanese
Tara Thai,"4828 Bethesda Ave., Bethesda, MD",Vietnamese
Tara Thai-2,"226 Maple Ave W, Vienna, VA ",Vietnamese
Taste of Saigon,"410 Hungerford Dr., Rockville, MD",Vietnamese
Tony Cheng's Mongolian Restaurant,"619 H St., NW, Washington, DC",Chinese
Tragara,"4935 Cordell Ave., Bethesda, MD",Italian
Union Street Public House,"121 S. Union St., Alexandria, VA",American
Vidalia,"1990 M St., NW, Washington, DC",Modern American
Vincenzo al Sole,"1606 20th St., NW, Washington, DC",Italian
Woo Lae Oak,"1500 S. Joyce St., Arlington, VA",Korean
Würzburg-Haus,"7236 Muncaster Mill Rd., Rockville, MD",German
Zed's Ethiopian Cuisine,"3318 M St., NW, Washington, DC",Ethiopian
