Restaurant,Address,Ranking,Cuisine
Aggio,"5335 Wisconsin Ave., NW, Washington DC",55,Italian
Ananda,"7421 Maple Lawn Blvd., Fulton, Md.",16,Indian
Baby Wale,"1124 Ninth St., NW, Washington DC",36,American
Bangkok Golden,"6395 Seven Corners Center, Falls Church, VA",40,Thai/Laotian
Bar Pilar,"1833 14th St., NW, Washington DC",77,American
Béarnaise,"315 Pennsylvania Ave., SE, Washington DC",92,French
Birch & Barley,"1337 14th St., NW, Washington DC",78,Modern American
Bistro Bis,"Hotel George, 15 E St., NW, Washington DC",42,French
BlackSalt,"4883 MacArthur Blvd., NW, Washington DC",99,American/seafood
The Bombay Club,"815 Connecticut Ave., NW, Washington DC",37,Indian
Bourbon Steak Lounge,"Four Seasons Hotel, 2800 Pennsylvania Ave., NW, Washington DC",100,American
Brasserie Beck,"1101 K St., NW, Washington DC",58,French/Belgian
Brasserie Beck-2,"311 Kentlands Blvd., Gaithersburg, MD",58,French/Belgian
Casa Luca,"1099 New York Ave., NW, Washington DC",13,Italian
Cashion’s Eat Place,"1819 Columbia Rd., NW, Washington DC",45,AMERICAN
Cava Mezze-3,"9713 Traville Gateway Dr., Rockville, MD",89,Greek
Cava Mezze,"527 Eighth St., SE., Washington DC",89,Greek
Cava Mezze-2,"2940 Clarendon Blvd., Arlington, VA",89,Greek
Central Michel Richard,"1001 Pennsylvania Ave., NW, Washington DC",15,American/French
Compass Rose,"1346 T St., NW, Washington DC",98,International
Corduroy,"1122 Ninth St., NW, Washington DC",39,American
Crane & Turtle,"828 Upshur St., NW, Washington DC",32,Modern American
Daikaya,"705 Sixth St., NW, Washington DC",38,Japanese/Ramen
DBGB Kitchen and Bar,"931 H St., NW, Washington DC",82,American/French
Del Campo,"777 I St., NW, Washington DC",12,South American/Steak
DGS Delicatessen,"1317 Connecticut Ave., NW, Washington DC",30,Jewish Deli
Doi Moi,"1800 14th St., NW, Washington DC",62,Thai/Vietnamese
Equinox,"818 Connecticut Ave., NW, Washington DC",72,Modern American
Estadio,"1520 14th St., NW, Washington DC",23,Spanish
Ethiopic,"401 H St., NE, Washington DC",60,Ethiopian
Etto,"1541 14th St., NW, Washington DC",48,Italian/pizza
Et Voila!,"5120 MacArthur Blvd., NW, Washington DC",90,French/Belgian
The Fainting Goat,"1330 U St., NW, Washington DC",97,American
Fiola,"601 Pennsylvania Ave., NW, Washington DC",8,Italian
Fiola Mare,"3050 K St., NW, Washington DC",4,Italian/Seafood
G by Mike Isabella,"2201 14th St., NW, Washington DC",59,Italian/Sandwiches
Ghibellina,"1610 14th St., NW, Washington DC",79,Italian/pizza
Graffiato,"707 Sixth St., NW, Washington DC",41,Italian/pizza
Green Pig Bistro,"1025 N. Fillmore St., Arlington, VA",43,American
Gypsy Soul,"8296 Glass Alley, Fairfax, VA",35,American/Southern
The Inn at Little Washington,"309 Middle St., Washington, VA",22,Modern American
Iron Gate,"1734 N St., NW, Washington DC",50,Mediterranean
Izakaya Seki,"1117 V St., NW, Washington DC",19,Japanese/sushi
Jaleo,"480 Seventh St., NW, Washington DC",27,Spanish
Jaleo-2,"7271 Woodmont Ave., Bethesda, MD",27,Spanish
Jaleo-3,"2250-A Crystal Dr., Arlington, VA",27,Spanish
Johnny’s Half Shell,"400 N. Capitol St., NW, Washington DC",83,American
Kapnos,"2201 14th St., NW, Washington DC",24,Greek
Kaz Sushi Bistro,"1915 I St., NW, Washington DC",93,Japanese/sushi
Kogiya,"4220-A Annandale Rd., Annandale, Virginia",63,Korean
Komi,"1509 17th St., NW, Washington DC",1,Modern American
La Limeña,"765-B Rockville Pike, Rockville, Maryland",65,Peruvian
L’Auberge Chez François,"332 Springvale Rd., Great Falls, VA",67,French
Le Diplomate,"1601 14th St., NW, Washington DC",14,French
Liberty Tavern,"3195 Wilson Blvd., Arlington, VA",86,American
Little Serow,"1511 17th St., NW, Washington DC",6,Thai
Lupo Verde,"1401 T St., NW, Washington DC",57,Italian
The Majestic,"911 King St., Alexandria, VA",64,American
Marcel’s,"2401 Pennsylvania Ave., NW, Washington DC",20,French
Minibar,"855 E St., NW, Washington",2,Modern American
Mintwood Place,"1813 Columbia Rd., NW, Washington DC",17,American/French
Mokomandy,"20789 Great Falls Plaza, Sterling, VA",74,Korean/Cajun
Montmartre,"327 Seventh St., SE, Washington DC",94,French
Nostos,"8100 Boone Blvd., Vienna, VA",68,Greek
Obelisk,"2029 P St., NW, Washington DC",28,Italian
Ocopa,"1324 H St., NE, Washington DC",52,Peruvian
Osteria Morini,"301 Water St., SE, Washington DC",33,Italian
The Partisan,"709 D St., NW, Washington DC",70,American
Passage to India,"4931 Cordell Ave., Bethesda, MD",51,Indian
PassionFish,"11960 Democracy Dr., Reston, VA",71,American/seafood
Pearl Dive Oyster Palace,"1612 14th St., NW, Washington DC",53,American/Southern
Petit Louis Bistro,"10215 Wincopin Cir., Columbia, MD",88,French
Plume,"The Jefferson hotel, 1200 16th St., NW, Washington DC",18,Modern American
Poste,"Hotel Monaco, 555 Eighth St., NW, Washington DC",61,American/French
Proof,"775 G St., NW, Washington DC",73,Modern American
Rappahannock Oyster Bar,"Union Market, 1309 Fifth St., NE, Washington DC",84,American/seafood
