Restaurant,Address,Cuisine
Afghan Bistro,"8081 Alban Rd, Springfield, VA",Afghan
All-Purpose,"1250 Ninth St., NW, Washington, DC",Italian
Ananda,"7421 Maple Lawn Blvd., Fulton, MD",Indian
Anxo Cidery & Pintxos Bar,"300 Florida Ave., NW, Washington, DC",Spanish
Ardeo & Bardeo,"3311 Connecticut Ave., NW, Washington, DC",American
The Ashby Inn & Restaurant,"692 Federal St., Paris, VA",American
Baan Thai,"1326 14th St NW, Washington, DC",Thai
Bad Saint,"3226 11th St., NW, Washington, DC",Filipino
Bangkok Golden/Thip Khao,"6395 Seven Corners Center, Falls Church, VA",Laotian
Bangkok Golden/Thip Khao-2,"3462 14th St NW, Washington, DC",Laotian
Bantam King,"501 G St., NW, Washington, DC",Japanese
Bibiana,"1100 New York Ave., NW, Washington, DC",Italian
Bindaas,"3309 Connecticut Ave., NW, Washington, DC",Indian
Bistro Bis,"Hotel George, 15 E St. NW, Washington, DC",French
Black Market Bistro,"4600 Waverly Ave., Garrett Park, MD",American
BlackSalt,"4883 MacArthur Blvd., NW, Washington, DC",American/seafood
Blue Duck Tavern,"Park Hyatt, 1201 24th St. NW, Washington, DC",American
The Bombay Club,"815 Connecticut Ave., NW, Washington, DC",Indian
Casa Luca,"1099 New York Ave., NW, Washington, DC",Italian
Central Michel Richard,"1001 Pennsylvania Ave., NW, Washington, DC",American/French
Centrolina,"974 Palmer Alley, NW, Washington, DC",Italian
Chez Billy Sud,"1039 31st St., NW, Washington, DC",French
China Chilcano,"418 Seventh St., NW, Washington, DC",Peruvian
Clarity,"442 Maple Ave. E., Vienna, VA",American
Compass Rose,"1346 T St., NW, Washington, DC",International
Consoci,"465 K St., NW, Washington, DC",International/seafood
Convivial,"801 O St., NW, Washington, DC",American/French
The Dabney,"122 Blagden Alley, NW, Washington, DC",American
Daikaya,"705 Sixth St., NW, Washington, DC",Japanese
DBGB Kitchen and Bar,"931 H St., NW, Washington, DC",American/French
Del Campo,"777 I St., NW, Washington, DC",South American/steak
EatBar,"415 Eighth St., SE, Washington, DC",American
Estadio,"1520 14th St., NW, Washington, DC",Spanish
Etto,"1541 14th St., NW, Washington, DC",Italian/Pizza
Field & Main,"8369 W. Main St., Marshall, VA",American
Fiola,"601 Pennsylvania Ave., NW, Washington, DC",Italian
Fiola Mare,"3050 K St., NW, Washington, DC",Italian/seafood
Garrison,"524 Eighth St., SE, Washington, DC",American
G by Mike Isabella,"2201 14th St., NW, Washington, DC",Italian/sandwiches
Ghibellina,"1610 14th St., NW, Washington, DC",Italian/pizza
Graffiato,"707 Sixth St., NW, Washington, DC",Italian/pizza
Green Pig Bistro,"1025 N. Fillmore St., Arlington, VA",American
Hank’s Pasta Bar,"600 Montgomery St., Alexandria, VA",Italian
Hazel,"808 V St., NW, Washington, DC",International
Himitsu,"828 Upshur St., NW, Washington, DC",Japanese
Inferno Pizzeria Napoletana,"12207 Darnestown Rd., Darnestown, MD",Italian/Pizza
The Inn at Little Washington,"309 Middle St., Washington, VA",American
Iron Gate,"1734 N St., NW, Washington, DC",Mediterranean
Izakaya Seki,"1117 V St., NW, Washington, DC",Japanese
Jaleo,"480 7th St NW, Washington, DC",Spanish
Jaleo-3,"2250 Crystal Dr, Arlington, VA",Spanish
Jaleo-2,"7271 Woodmont Ave, Bethesda, MD",Spanish
Johnny’s Half Shell,"1819 Columbia Rd., NW, Washington, DC",American
Kapnos/Taverna/Kouzina,"4000 Wilson Blvd, Arlington, VA",Greek
Kapnos/Taverna/Kouzina-2,"4900 Hampden Ln, Bethesda, MD",Greek
Kapnos/Taverna/Kouzina-3,"2201 14th St NW, Washington, DC",Greek
Kinship,"1015 Seventh St., NW, Washington, DC",American
Kogiya,"4220-A Annandale Rd., Annandale, VA",Korean
Komi,"1509 17th St., NW, Washington, DC",Mediterranean
Kyirisan,"1924 Eighth St., NW, Washington, DC",Chinese/French
La Limeña,"765-B Rockville Pike, Rockville, MD",Peruvian
Lapis,"1847 Columbia Rd., NW, Washington, DC",Afghan
L’Auberge Chez François/Jacques’ Brasserie,"332 Springvale Rd., Great Falls, VA",French
Le Diplomate,"1601 14th St., NW, Washington, DC",French
Little Serow,"1511 17th St., NW, Washington, DC",Thai
Maketto,"1351 H St., NE, Washington, DC",Cambodian/Taiwanese
Marcel’s,"2401 Pennsylvania Ave., NW, Washington, DC",French
Masseria,"1340 Fourth St., NE, Washington, DC",Italian
Métier,"1015 Seventh St., NW, Washington, DC",French
Minibar,"855 E St., NW, Washington, DC",Modern American
Mintwood Place,"1813 Columbia Rd., NW, Washington, DC",American/French
Mokomandy,"20789 Great Falls Plaza, Sterling, VA",Cajun/Korean
Nostos,"8100 Boone Blvd., Vienna, VA",Greek
Obelisk,"2029 P St., NW, Washington, DC",Italian
Osteria Morini,"301 Water St., SE, Washington, DC",Italian
The Partisan,"709 D St., NW, Washington, DC",American
Passage to India,"4931 Cordell Ave., Bethesda, MD",Indian
Pineapple and Pearls,"715 Eighth St., SE, Washington, DC",American
Plume,"The Jefferson hotel, 1200 16th St. NW, Washington, DC",American
Preserve,"164 Main St., Annapolis, MD",American
Proof,"775 G St., NW, Washington, DC",American
Rappahannock Oyster Bar,"Union Market, 1309 Fifth St. NE, Washington, DC",American/seafood
Rasika-2,"633 D ST NW Washington, DC ",Indian
Rasika,"1190 New Hampshire Ave, NW, Washington, DC",Indian
The Red Hen,"1822 First St., NW, Washington, DC",Italian
Republic,"6939 Laurel Ave., Takoma Park, MD",American
Restaurant Eve,"110 S. Pitt St., Alexandria, VA",American/Filipino
The Restaurant at Patowmack Farm,"42461 Lovettsville Rd., Lovettsville, VA",American
The Riggsby,"1731 New Hampshire Ave., NW, Washington, DC",American
Rose’s Luxury,"717 Eighth St., SE, Washington, DC",American
RPM Italian,"650 K St., NW, Washington, DC",Italian
Sally’s Middle Name,"1320 H St., NE, Washington, DC",American
Ser,"1110 N. Glebe Rd., Arlington, VA",Spanish
1789,"1226 36th St., NW, Washington, DC",American
The Source,"575 Pennsylvania Ave., NW, Washington, DC",Chinese
Sushiko,"5455 Wisconsin Ave., Chevy Chase, MD",Japanese
Sushi Ogawa,"2100 Connecticut Ave., NW, Washington, DC",Japanese
Sushi Sono,"10215 Wincopin Cir., Columbia, MD",Japanese
Sushi Taro,"1503 17th St., NW, Washington, DC",Japanese
Tail Up Goat,"1827 Adams Mill Rd., NW, Washington, DC",Mediterranean
Timber Pizza Co.,"809 Upshur St., NW, Washington, DC",Italian/pizza
2 Amys,"3715 Macomb St., NW, Washington, DC",Italian/pizza
Vermilion,"1120 King St., Alexandria, VA",American
Vin 909 Winecafé,"909 Bay Ridge Ave., Annapolis, MD",American/pizza
Whaley’s,"301 Water St., SE, Washington, DC",American/seafood
Zaytinya,"701 Ninth St., NW, Washington, DC",Greek/Lebanese/Turkish
