Restaurant,Address
Cantina d'Italia,"1214-A 18th ST NW, Washington DC"
Chez Camille,"1403 L ST NW, Washington DC"
Chez Francois,"818 Connecticut Ave NW, Washington DC"
El Tio Pepe Restaurant,"2809 M ST NW, Washington, DC"
Japan Inn,"1520 Connecticut Ave. NW, Washington, DC"
Japan Inn,"1715 Wisconsin Ave NW, Washington, DC"
Jean-Pierre,"1835 K ST NW, Washington, DC"
Le Provencal,"1234 20th ST NW, Washington DC"
Old Europe,"2434 Wisconsin Ave NW, Washington DC"
Potomack,"3239 M ST NW, Washington DC"
A.V. Ristorante,"607 New York Ave. NW, Washington DC"
Calvert Cafe,"1967 Calvert ST NW, Washington DC"
Don Pedro's Mexican Cantina,"10th and H ST NW, Washington DC"
Duke Zeibert's,"1722 L ST NW, Washington DC"
El Caribe,"1828 Columbia Rd., NW, Washington DC"
Empress,"1018 Vermont Ave NW, Washington DC"
Jockey Club,"2100 Massachusetts Ave NW, Washington DC"
Paul Young's,"1120 Connecticut Ave NW, Washington DC"
Peking Downtown,"711 13th ST NW, Washington DC"
Portofino,"526 23rd St S, Arlington, VA"
Rive Gauche,"3200 M ST NW, Washington DC"
Sans Souci,"726 17th ST NW, Washington DC"
Sorabol,"2300 Connecticut Ave NW, Washington DC"
Trader Vie's,"16th and K ST NW, Washington DC"
Adam's Rib,"2100 Pennsylvania Ave., NW, Washington DC"
Alamo Mexican Resta,"5508-14 Kenilworth Ave. Riverdale, MD"
Alpine,"4770 Lee Highway, Arlington, VA"
Charcuterie Normande,"3155 Wilson Blvd., Arlington, VA"
Company Inkwell,"4109 Wilson Blvd, Arlington, VA"
Court of the Mandarins,"1824 M ST NW, Washington DC"
Fatted Calf,"415 12th ST NW, Washington DC"
Fausto,"3160 Wilson Blvd., Arlington, VA"
Gaylord's,"1731 Connecticut Ave NW, Washington DC"
Hamburger Hamlet,"5225 Wisconsin Ave NW, Washington DC"
Harding's Cloakroom,"3288 M ST NW, Washington DC"
Jacqueline's,"1921 Pennsylvania Ave., NW, Washington DC"
La Nicoise,"1721 Wisconsin Ave, NW, Washington DC"
Le Consulat,"2015 Massachusetts Ave NW, Washington DC"
Maison des Crepes,"1305 Wisconsin Ave., NW, Washington, DC"
Maison des Crepes,"7756 Wisconsin Ave, Bethesda, MD"
Maria Rosa,"7651 Old Georgetown Rd Bethesda, MD"
Omega,"1858 Columbia Rd NW, Washington DC"
1789,"1226 36th ST NW, Washington DC"
Shanghai,"5157 Lee Highway, Arlington, VA"
Taj Mahal,"1327 Connecticut Ave NW, Washington DC"
Yenching Palace,"3524 Connecticut Ave NW, Washington DC"
