Name,Address
Alpine,"4770 Lee Highway, Arlington, VA"
A.V. Ristorante,"607 New York Avenue, Northwest, Washington, DC"
Blair Mansion Inn,"7711 Eastern Avenue, Northwest, Washington, DC"
Calvert Cafe,"1967 Calvert Street, Northwest, Washington, DC"
Cantina d'Italia,"1214A 18th Street, Northwest at Connecticut Avenue, Washington, DC"
Charcuterie Normande,"3155 Wilson Boulevard, Arlington, VA"
Chez Camille,"1403 L Street, Northwest, Washington, DC"
Chez Francois," 818 Connecticut Avenue, NW Washington, Washington, DC"
Company Inkwell,"4109 Wilson Boulevard, Arlington, VA"
Crisfield's,"8012 Georgia Avenue, Silver Spring, MD"
Csiko's,"3601 Connecticut Avenue, Northwest, Washington, DC"
Don Pedro's,"10th and H Streets, Northwest, Washington, DC"
Duke Zeibert's ,"1722 L Street Northwest, D.C., DC"
El Caribe,"1828 Columbia Road, Northwest, Washington, DC"
El Tio Pepe,"2809 M St NW, Washington, DC"
Empress,"1018 Vermont Avenue, Northwest, Washington, DC"
Gaylord's,"1731 Connecticut Avenue, Northwest, Washington, DC"
Japan Inns-2,"1520 Connecticut Avenue, Washington, DC"
Japan Inns,"1715 Wisconsin Avenue NW, Washington DC"
Jean-Pierre,"1835 K Street, Northwest, Washington, DC"
Jockey Club,"2100 Massachusetts Ave NW, Washington, DC"
Jour et Nuit,"1204 30th Street Northwest, Washington, DC"
King's Contrivance,"6800-6898 Columbia Pike, Columbia, MD 21044"
Le Pauvre Immigrant,"2233 Wisconsin Ave, Washington, DC"
Le Provencal,"1234 20th Street, Northwest, Washington, DC"
Maison des Crepes,"7756 Wisconsin Avenue, Bethesda, MD"
Maison des Crepes,"1305 Wisconsin Avenue NW, Washington DC"
Mikado,"4707 Wisconsin Avenue, Washington, DC"
Montpelier Room,"1177 15th St NW, Washington, DC"
Old Europe,"2434 Wisconsin Avenue, Washington, DC"
Omega,"1858 Columbia Road, Northwest, Washington, DC"
Paul Young's ,"1120 Connecticut Avenue, Washington, DC"
Peking Downtown,"711 13th Street, Northwest, Washington, DC"
Pekimh Uptown,"5522 Connecticut Ave NW, Washington, DC"
Peking Fairfax,"10560 Main Street, Fairfax, VA"
Peking,"823 15th Street, Northwest, Washington DC"
Portofino,"526 23rd Street South, Arlington, VA"
Port O'Georgetown,"1054 31st Street, Northwest, Washington, DC"
Pouget's,"3309 Connecticut Avenue, Washington, DC"
Sans Souci,"726 17th Street, Northwest, Washington, DC"
"""1789""","1226 36th Street, Northwest, Washington, DC"
Sorabol ,"2300 Connecticut Avenue, Northwest, Washington, DC"
Trader Vic's ,"16th and K Streets, Northwest, Washington, DC"
Watergate Terrace,"2650 Virginia Avenue, Northwest, Washington, DC"
