Name,Address,Cuisine
L'Auberge Chez Francois,"332 Springvale Rd, Great Falls, VA",French
Bacchus,"1827 Jefferson PL., NW, Washington DC",Lebanese
Bacchus-Bethesda,"7945 Norfolk Ave., Bethesda, MD",Lebanese
Bamiyan,"3320 M St., NW, Washington DC",Afghan
Bamiyan II,"300 King St., Alexandria, VA",Afghan
Bangkok Gourmet,"523 S. 23rd St., Arlington, VA",Thai
Bombay Palace,"1835 K ST NW, Washington DC",Indian
Le Caprice,"2348 Wisconsin Ave NW, Washington DC",French
La Chaumiere,"2813 M ST NW, Washington DC",French
China Coral,"6900 Wisconsin Ave., Bethesda, MD",Chinese
China Inn,"631 H St., NW, Washington DC",Chinese
La Colline,"400 N. Capito St., NW, Washington DC",French
Crisfield,"8012 Georgia Ave., Silver Spring, MD",Seafood
Dar Es Salam,"3056 M St., NW, Washington DC",Moroccan
Enriqueta's-Georgetown,"2811 M St., NW, Washington DC",Mexican
Galileo,"2014 P ST NW, Washington DC",Italian
Le Gaulois,"2133 Pennsylvania Ave., NW, DC",French
Hisago,"3050 K St., NW, Washington DC",Japanese
Hunan Chinatown,"624 H St., NW, DC",Chinese
Japan Inn,"1715 Wisconsin Ave., NW, DC",Japanese
Katmandu,"1800 Connecticut Ave., NW, DC",French
Le Lion d'Or,"1150 Connecticut Ave., NW, DC",French
Madurai,"3318 M St., NW, DC",Vegetarian
Mel Krupin's,"1120 Connecticut Ave NW, Washington DC",American
Meskerem,"2434 18th ST NW, Washington DC",Ethiopian
Mixtec,"1792 Columbia Rd., NW, DC",Mexican
Morton's of Chicago,"3251 Prospect St., NW, DC",American
New Orleans Emporium,"2477 18th St., NW, DC",Cajun
Nizam's,"523 Maple Ave. W., Vienna, VA",Turkish
O' Brien's Pit Barbecue,"1314 E. Gude Dr., Rockville, MD",Texas Barbecue
O'Brien's-Bethesda,"7305 Waverly St., Bethesda, MD",Texas Barbecue
O'Brien's-Springfield,"6820 Commerce St., Springfield, VA",Texas Barbecue
Occidental,"1475 Pennsylvania Ave., NW, DC",American
Occidental Grill,"1475 Pennsylvania Ave., NW, DC",American
Old Ebbitt Grill,"675 15th ST NW, Washington DC",American
Omega,"1858 Columbia Rd., NW, DC",Cuban
Las Pampas,"3291 M St., NW, Washington DC",Argentine
Le Pavillon,"1050 Connecticut Ave., NW, Washington DC",French
Prime Rib,"2020 K St., NW, Washington DC",American
Primi Piatti,"2013 I St., NW, Washington DC",Italian
Queen Bee,"3181 Wilson Blvd., Arlington, VA",Vietnamese
Red Sea,"2463 18th St., NW, Washington DC",Ethiopian
Soraya,"1639 Wisconsin Ave NW, Washington DC",Cambodian
Sushi-Ko,"2309 Wisconsin Ave., NW, Washington DC",Japanese
Szechuan,"615 I St., NW, Washington DC",Chinese
Szechuan Gallery,"617 H St., NW, Washington DC",Chinese
Tandoor-Georgetown,"3316 M St., NW, Washington DC",Indian
Thai Taste,"2606 Connecticut Ave., NW, DC",Thai
Tony Cheng's Mongolian Restaurant,"619 H St., NW, Washington DC",Chinese
Vincenzo,"1606 20th St., NW, Washington DC",Italian seafood
