Restaurant,Address,Cuisine
Angkor Wat,"6703 Lowell Ave., McLean, VA",Cambodian
Bacchus,"1827 Jefferson PI., NW, DC",Lebanese
Bacchus-Bethesda,"7945 Norfolk Ave., Bethesda, MD",Lebanese
Bangkok Gourmet,"523 S. 23rd St., Arlington, VA",Thai
Bombay Palace,"1835 K St., NW, DC",Indian
China Inn,"631 H St., NW, DC",Chinese
Crisfield,"8012 Georgia Ave., Silver Spring, MD",Seafood
Dar Es Salam,"3056 M St., NW, DC",Moroccan
Duangrat's,"5878 Leesburg Pike, Falls Church, VA",Thai
Enriqueta's-Georgetown,"2811 M St., NW, DC",Mexican
Galileo,"2014 P St., NW, DC",Italian
Hisago,"3050 K St., NW, DC",Japanese
Hunan Chinatown,"624 H St., NW, DC",Chinese
Japan Inn,"1715 Wisconsin Ave., NW, DC",Japanese
Jean-Louis,"2650 Virginia Ave., NW, DC",French
Katmandu,"1800 Connecticut Ave., NW, DC",Nepali/Kashmiri
L'Auberge Chez Francois,"332 Springvale Rd., Great Falls, VA",French
La Chaumiere,"2813 M St., NW, DC",French
La Colline,"400 N, Capitol St., NW, DC",French
Las Pampas,"3291 M St., NW, DC",Argentine
Le Caprice,"2348 Wisconsin Ave., NW, DC",French
Le Gaulois,"2133 Pennsylvania Ave., NW, DC",French
Le Lion d'Or,"1150 Connecticut Ave., NW, DC",French
Le Pavillon,"1050 Connecticut Ave., NW, DC",French
Madurai,"3318 M St., NW, DC",Vegetarian
Meskerem,"2434 18th St., NW, DC",Ethiopian
Mixtec,"1792 Columbia Rd., NW, DC",Mexican
Morton's of Chicago,"3251 Prospect St., NW, DC",American
Nizam's,"523 Maple Ave. W., Vienna, VA",Turkish
O' Brien's Pit Barbecue,"1314 E. Gude Dr., Rockville, MD",Texas Barbecue
O'Brien's-Bethesda,"7305 Waverly St., Bethesda, MD",Texas Barbecue
O'Brien's-Springfield,"6820 Commerce St., Springfield, VA",Texas Barbecue
Obelisk,"2029 P St., NW, DC",Italian
Occidental,"1475 Pennsylvania Ave., NW, DC",American
Occidental Grill,"1475 Pennsylvania Ave., NW, DC",American
Old Ebbitt Grill,"675 15th St., NW, DC",American
Omega,"1858 Columbia Rd., NW, DC",Cuban
Prime Rib,"2020 K St., NW, DC",American
Primi Piatti,"2013 I St., NW, DC",Italian
Queen Bee,"3181 Wilson Blvd., Arlington, VA",Vietnamese
Rio Grande Café,"4919 Fairmont Ave., Bethesda, MD",Tex-Mex
Sushi-Ko,"2309 Wisconsin Ave., NW, DC",Japanese
Szechuan,"615 I St., NW, DC",Chinese
Tandoor-Georgetown,"3316 M St., NW, DC",Indian
Thai Taste,"2606 Connecticut Ave., NW, DC",Thai
Tony Cheng's Mongolian Restaurant,"619 H St., NW, DC",Chinese
Twenty-One Federal,"1736 L St., NW, DC",American
Vietnam Taste-Pho 79,"2007 Viers Mill Rd., Rockville, MD",Vietnamese
Vincenzo,"1606 20th St., NW, DC",Italian seafood
Zed's Ethiopian Cuisine,"3318 M St., NW, DC",Ethiopian
