Name,Location,Cuisine
A la Lucia,"315 Madison St, Alexandria, VA",Italian
Acadiana,"901 New York Ave NW, Washington, DC",Southern
Amici Miei,"1093 Seven Locks Rd, Potomac, MD",Italian
Asia Nora,"2213 M St., NW, Washington, DC",Pan-Asian
Bangkok 54,"2919 Columbia Pike, Arlington, VA",Thai
Bebo Trattoria,"2250b Crystal Dr, Arlington, VA",Italian
Bistro Bis,"15 E St., NW, Washington, DC",French
Black Market Bistro,"4600 Waverly Ave, Garrett Park, MD",Modern American
Black’s Bar and Kitchen,"7750 Woodmont Ave, Bethesda, MD",Modern American
Black Salt,"4883 MacArthur Blvd NW, Washington, DC",Modern American
BLT Steak,"1625 I St NW, Washington, DC",Modern American
Blue Duck Tavern,"1201 24th St NW, Washington, DC",Modern American
Bob’s Noodle 66,"305 N Washington St, Rockville, MD",Taiwanese
Bombay,"11229 New Hampshire Ave, Silver Spring, MD",Indian
Buck’s Fishing and Camping,"5031 Connecticut Ave NW, Washington, DC",Modern American
Butterfield 9,"600 14th St NW, Washington, DC",Modern American
Café Atlántico,"405 Eighth St., NW, Washington, DC",Nuevo Latino
Cafe 15,"Hotel Sofitel, 805 15th St., NW, Washington, DC",French
Cashion’s Eat Place,"1819 Columbia Rd., NW, Washington, DC",Southern
Ceiba,"701 14th St., NW, Washington, DC",Latin fusion
Ceviche,"921-J Ellsworth Dr., Silver Spring, MD",Latin fusion
Charlie Palmer Steak,"101 Constitution Ave., NW, Washington, DC",Modern American
Circle Bistro,"1 Washington Cir., NW, Washington, DC",French
Citronelle,"3000 M St., NW, Washington, DC",French
CityZen,"1330 Maryland Ave SW, Washington, DC",Modern American
Colorado Kitchen,"5515 Colorado Ave., NW, Washington, DC",American/Southern
Colvin Run Tavern,"8045 Leesburg Pike, Tysons, VA",Modern American
Corduroy,"1201 K St., NW, Washington, DC",Modern American
David Craig Bethesda,"4924 St. Elmo Ave., Bethesda, MD",Modern American
DC Coast,"1401 K St., NW, Washington, DC",Modern American
Equinox,"818 Connecticut Ave., NW, Washington, DC",Modern American
Etete,"1942 Ninth St., NW, Washington, DC",Ethiopian
Famoso,"5471 Wisconsin Ave, Bethesda, MD",Italian
Farrah Olivia,"600 Franklin St, Alexandria, VA",Modern American
Faryab,"4917 Cordell Ave, Bethesda, MD",Afghan
Foti’s,"219 E Davis St, Culpeper, VA",Modern American
Gerard’s Place,"915 15th St., NW, Washington, DC",French
Gom Ba Woo,"7133 Columbia Pike, Annandale, VA ",Korean
Grapeseed,"4865 Cordell Ave., Bethesda, MD",Modern American
Hank’s Oyster Bar,"1624 Q St., NW, Washington, DC",Seafood
Heritage India,"2400 Wisconsin Ave., NW, Washington, DC",Indian
Hollywood East Cafe,"2312 Price Ave, Silver Spring, MD",Chinese/dim sum
Hollywood East Cafe-2,"2621 University Blvd W, Silver Spring, MD",Chinese/dim sum
Huong Viet,"6785 Wilson Blvd, Falls Church, VA ",Vietnamese
Indigo Landing,"1 Marina Dr, Alexandria, VA",Southern
Indique,"3512 Connecticut Ave NW, Washington, DC",Indian
