Restaurants,Location,Style
Adour,"St. Regis, 923 16th St., NW, Washington DC",French
Ardeo & Bardeo,"3311 Connecticut Ave., NW, Washington DC",Modern American
The Ashby Inn & Restaurant,"692 Federal St., Paris, Va",Modern American
The Atlas Room,"1015 H St., NE, Washington DC",American
Bar Pilar,"1833 14th St., NW, Washington DC",American/small plates
Bibiana,"1100 New York Ave., NW, Washington DC",Italian
Birch & Barley,"1337 14th St., NW, Washington DC",American
Bistro Bis,"Hotel George, 15 E St., NW, Washington DC",French
Bistro Provence,"4933 Fairmont Ave., Bethesda, MD",French
Bistrot Le Zinc,"3714 Macomb St., NW, Washington DC",French
Black Market Bistro,"4600 Waverly Ave, Garrett Park, MD ",American
BlackSalt,"4883 MacArthur Blvd., NW, Washington DC",Modern American/seafood
BLT Steak,"1625 I St., NW, Washington DC",American/steak
Blue Duck Tavern,"Park Hyatt, 1201 24th St., NW, Washington DC",American
Bourbon Steak,"Four Seasons Hotel, 2800 Pennsylvania Ave., NW, Washington DC",Modern American/steak
Brabo Tasting Room,"1600 King St, Alexandria, VA",American/Belgian
Brasserie Beck,"1101 K St., NW, Washington DC",Belgian/French
Café du Parc,"1401 Pennsylvania Ave., NW, Washington DC",French
Cashion’s Eat Place,"1819 Columbia Rd., NW, Washington DC",American
Cava Mezze-3,"9713 Traville Gateway Dr., Rockville, MD",Greek/small plates
Cava Mezze,"527 Eighth St., SE, Washington DC",Greek/small plates
Cava Mezze-2,"2940 Clarendon Blvd., Arlington, VA",Greek/small plates
Central Michel Richard,"1001 Pennsylvania Ave., NW, Washington DC",American/French
Circle Bistro,"1 Washington Cir NW, Washington, DC",American
Citronelle [3],"Latham Hotel, 3000 M St., NW, Washington DC",French
CityZen [6],"Mandarin Oriental, 1330 Maryland Ave., SW, Washington DC",Modern American
Corduroy,"1122 Ninth St., NW, Washington DC",American
Cork,"1720 14th St., NW, Washington DC",Modern American/wine bar
8407 Kitchen Bar,"8407 Ramsey Ave., Silver Spring, MD",American
Eola,"2020 P St., NW, Washington DC",Modern American
Equinox,"818 Connecticut Ave., NW, Washington DC",Modern American
Estadio,"1520 14th St., NW, Washington DC",Spanish/small plates
Ethiopic,"401 H St., NE, Washington DC",Ethiopian
Et Voila!,"5120 MacArthur Blvd., NW, Washington DC",Belgian/French
Fiola [8],"601 Pennsylvania Ave., NW, Washington DC",Italian
Food Wine & Co.,"7272 Wisconsin Ave., Bethesda, MD",American
Four Sisters,"8190 Strawberry Lane., Falls Church, VA",Vietnamese
Graffiato,"707 Sixth St., NW, Washington DC",Italian
Grapeseed,"4865-C Cordell Ave., Bethesda, MD",Modern American/wine bar
Indique and Indique Heights,"3512 Connecticut Ave., NW, Washington DC",Indian
Indique and Indique Heights-2,"2 Wisconsin Cir, Chevy Chase, MD",Indian
The Inn at Little Washington [2],"309 Middle St., Washington, Va.",Modern American
Jackie’s,"8081 Georgia Ave., Silver Spring, MD",American
Jaleo,"480 Seventh St., NW, Washington DC",Spanish/small plates
Jaleo-2,"7271 Woodmont Ave., Bethesda, MD",Spanish/small plates
Jaleo-3,"2250-A Crystal Dr., Arlington, VA",Spanish/small plates
J&G Steakhouse,"W Hotel, 515 15th St., NW, Washington DC",Modern American/steak
Johnny’s Half Shell,"400 N. Capitol St., NW, Washington DC",American/seafood
Kinkead’s,"2000 Pennsylvania Ave., NW, Washington DC",American/seafood
Komi [1],"1509 17th St., NW, Washington DC",Mediterranean
Kushi,"465 K St., NW, Washington DC",Japanese/sushi
La Limeña,"765-B Rockville Pike, Rockville, MD",Peruvian
L’Auberge Chez François and Jacques’ Brasserie,"332 Springvale Rd., Great Falls, VA",French
Liberty Tavern,"3195 Wilson Blvd., Arlington, VA",American
Little Serow,"1511 17th St., NW, Washington DC",Thai
Lyon Hall,"3100 N. Washington Blvd., Arlington, VA",French
The Majestic,"911 King St., Alexandria, VA",American
Makoto,"4822 MacArthur Blvd., NW, Washington DC",Japanese/sushi
Mala Tang,"3434 Washington Blvd., Arlington, VA",Chinese
Marcel’s [9],"2401 Pennsylvania Ave., NW, Washington DC",French
Michel,"1700 Tysons Blvd, McLean, VA",American/French
Minh’s,"2500 Wilson Blvd., Arlington, VA",Vietnamese
Minibar [4],"405 Eighth St., NW, Washington DC",Modern American
Montmartre,"327 Seventh St., SE, Washington DC",French
Nava Thai Noodle and Grill,"11301 Fern St., Silver Spring, MD",Thai
New Heights,"2317 Calvert St., NW, Washington DC",Modern American
Newton’s Table,"4917 Elm St., Bethesda, MD",American
Nostos,"8100 Boone Blvd., Vienna, VA",Greek
Obelisk,"2029 P St., NW, Washington DC",Italian
The Oval Room,"800 Connecticut Ave., NW, Washington DC",Modern American
Palena and Palena Cafe [5],"3529 Connecticut Ave., NW, Washington DC",Modern American/Italian
PassionFish,"11960 Democracy Dr, Reston, VA ",Modern American/seafood
Pearl Dive Oyster Palace,"1612 14th St., NW, Washington DC",American
Plume,"The Jefferson,1200 16th St., NW, Washington DC",Modern American
Poste,"Hotel Monaco, 555 Eighth St., NW, Washington DC",Modern American
Present,"6678 Arlington Blvd., Falls Church, VA",Vietnamese
Proof,"775 G St., NW, Washington dc",Modern American
PS 7’s,"777 I St., NW, Washington",Modern American
Rasika [7],"633 D St., NW, Washington DC",Indian
Ray’s the Classics,"8606 Colesville Rd., Silver Spring, MD",American/steak
Ray’s the Steaks,"2300 Wilson Blvd., Arlington, VA",American/steak
Ray’s to the Third,"1650 Wilson Blvd., Arlington, VA",American/steak
Red Pearl,"10215 Wincopin Cir, Columbia, MD ",Chinese
Restaurant Eve,"110 S. Pitt St., Alexandria, VA",Modern American
Ripple,"3417 Connecticut Ave., NW, Washington DC",Modern American
Ris,"2275 L St., NW, Washington DC",American
Rogue 24,"922 N St., NW, Washington DC",Modern American
Ruan Thai,"11407 Amherst Ave., Silver Spring, MD",Thai
Seasonal Pantry,"1314½ Ninth St., NW, Washington DC",Modern American
701,"701 Pennsylvania Ave., NW, Washington DC",Modern American
1789,"1226 36th St., NW, Washington DC",Modern American
Sichuan Pavilion,"410 Hungerford Dr., Rockville, MD",Chinese
The Source,"575 Pennsylvania Ave., NW, Washington DC",Pan-Asian
Sushiko I,"2309 Wisconsin Ave., NW, Washington DC",Sushi
Sushiko II ,"5455 Wisconsin Ave, Bethesda, MD",Sushi
Sushi Sono,"10215 Wincopin Cir, Columbia, MD",Sushi
Sushi Taro,"1503 17th St., NW, Washington DC",Sushi
Tallula,"2761 Washington Blvd., Arlington, VA",Modern American
Tosca,"1112 F St., NW, Washington DC",Italian
